initial_date,final_date,initial_time,final_time,sample_location,bottle_id,replicate,depth,depth_m,treatment,initial_do_mg_l,final_do_mg_l,do_difference_mg_l,notes
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,2,b,bottom,3.5,light,8.47,8.72,0.25,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,55,b,bottom,3.5,dark,8.43,8.47,0.04,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,15,c,surface,0.3,light,8.50,8.87,0.37,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,58,c,surface,0.3,dark,8.51,8.38,-0.13,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,16,c,middle,1.75,light,9.05,9.36,0.31,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,22,c,middle,1.75,dark,9.02,9.02,0,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,24,c,bottom,3.5,light,8.49,8.74,0.25,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,13,c,bottom,3.5,dark,8.38,8.37,-0.01,
2022-10-19,2022-10-19,12:09,19:10,SMCM_dock,8,a,surface,0.3,light,9.30,9.65,0.35,
2022-10-19,2022-10-19,12:09,19:10,SMCM_dock,58,a,surface,0.3,dark,9.23,9.13,-0.1,
2022-10-19,2022-10-19,12:09,19:10,SMCM_dock,18,a,middle,1.6,light,9.27,9.49,0.22,
